low.token	low.lemma	pos	freq	ent	frei	los	un	typ	basis
unbedingt	unbedingt	ADJD	2417239	FALSE	FALSE	FALSE	TRUE	un-	bedingt
kostenlos	kostenlos	ADJD	1607836	FALSE	FALSE	TRUE	FALSE	-los	kosten
unklar	unklar	ADJD	1540432	FALSE	FALSE	FALSE	TRUE	un-	klar
unmittelbar	unmittelbar	ADJD	1257981	FALSE	FALSE	FALSE	TRUE	un-	mittelbar
unabhängig	unabhängig	ADJD	1099208	FALSE	FALSE	FALSE	TRUE	un-	abhängig
unbekannte	unbekannt	ADJA	956179	FALSE	FALSE	FALSE	TRUE	un-	bekannt
ungefähr	ungefähr	ADJD	851736	FALSE	FALSE	FALSE	TRUE	un-	gefähr
unmöglich	unmöglich	ADJD	724599	FALSE	FALSE	FALSE	TRUE	un-	möglich
enttäuscht	enttäuscht	ADJD	700920	TRUE	FALSE	FALSE	FALSE	ent-	täuscht
unglaublich	unglaublich	ADJD	680066	FALSE	FALSE	FALSE	TRUE	un-	glaublich
kostenlose	kostenlos	ADJA	623118	FALSE	FALSE	TRUE	FALSE	-los	kosten
ungewöhnlich	ungewöhnlich	ADJD	611124	FALSE	FALSE	FALSE	TRUE	un-	gewöhnlich
unverändert	unverändert	ADJD	580249	FALSE	FALSE	FALSE	TRUE	un-	verändert
unbekannten	unbekannt	ADJA	544110	FALSE	FALSE	FALSE	TRUE	un-	bekannt
problemlos	problemlos	ADJD	474693	FALSE	FALSE	TRUE	FALSE	-los	problem
unverletzt	unverletzt	ADJD	447377	FALSE	FALSE	FALSE	TRUE	un-	verletzt
unzählige	unzählig	ADJA	437826	FALSE	FALSE	FALSE	TRUE	un-	zählig
unbekannt	unbekannt	ADJD	424516	FALSE	FALSE	FALSE	TRUE	un-	bekannt
ungewöhnliche	ungewöhnlich	ADJA	417323	FALSE	FALSE	FALSE	TRUE	un-	gewöhnlich
ungeschlagen	ungeschlagen	ADJD	412475	FALSE	FALSE	FALSE	TRUE	un-	geschlagen
unglücklich	unglücklich	ADJD	409427	FALSE	FALSE	FALSE	TRUE	un-	glücklich
unerwartet	unerwartet	ADJD	408931	FALSE	FALSE	FALSE	TRUE	un-	erwartet
unbekannter	unbekannt	ADJA	404211	FALSE	FALSE	FALSE	TRUE	un-	bekannt
unabhängige	unabhängig	ADJA	399160	FALSE	FALSE	FALSE	TRUE	un-	abhängig
kostenlosen	kostenlos	ADJA	396062	FALSE	FALSE	TRUE	FALSE	-los	kosten
ungewöhnlichen	ungewöhnlich	ADJA	393780	FALSE	FALSE	FALSE	TRUE	un-	gewöhnlich
unwahrscheinlich	unwahrscheinlich	ADJD	390636	FALSE	FALSE	FALSE	TRUE	un-	wahrscheinlich
kostenfrei	kostenfrei	ADJD	385622	FALSE	TRUE	FALSE	FALSE	-frei	kosten
arbeitslos	arbeitslos	ADJD	384619	FALSE	FALSE	TRUE	FALSE	-los	arbeits
unzufrieden	unzufrieden	ADJD	353694	FALSE	FALSE	FALSE	TRUE	un-	zufrieden
parteilos	parteilos	ADJD	352777	FALSE	FALSE	TRUE	FALSE	-los	partei
erfolglos	erfolglos	ADJD	349493	FALSE	FALSE	TRUE	FALSE	-los	erfolg
unabhängigen	unabhängig	ADJA	344988	FALSE	FALSE	FALSE	TRUE	un-	abhängig
zweifellos	zweifellos	ADJD	342305	FALSE	FALSE	TRUE	FALSE	-los	zweifel
unsicher	unsicher	ADJD	338006	FALSE	FALSE	FALSE	TRUE	un-	sicher
unnötig	unnötig	ADJD	331529	FALSE	FALSE	FALSE	TRUE	un-	nötig
unmittelbarer	unmittelbar	ADJA	326869	FALSE	FALSE	FALSE	TRUE	un-	mittelbar
unheimlich	unheimlich	ADJD	299411	FALSE	FALSE	FALSE	TRUE	un-	heimlich
entspannt	entspannt	ADJD	297644	TRUE	FALSE	FALSE	FALSE	ent-	spannt
ungewiss	ungewiss	ADJD	297278	FALSE	FALSE	FALSE	TRUE	un-	gewiss
chancenlos	chancenlos	ADJD	291516	FALSE	FALSE	TRUE	FALSE	-los	chancen
entschieden	entschieden	ADJD	289983	TRUE	FALSE	FALSE	FALSE	ent-	schieden
unzähligen	unzählig	ADJA	267250	FALSE	FALSE	FALSE	TRUE	un-	zählig
harmlos	harmlos	ADJD	259596	FALSE	FALSE	TRUE	FALSE	-los	harm
unglaubliche	unglaublich	ADJA	240896	FALSE	FALSE	FALSE	TRUE	un-	glaublich
reibungslos	reibungslos	ADJD	230956	FALSE	FALSE	TRUE	FALSE	-los	reibungs
unangenehm	unangenehm	ADJD	226709	FALSE	FALSE	FALSE	TRUE	un-	angenehm
unverständlich	unverständlich	ADJD	223834	FALSE	FALSE	FALSE	TRUE	un-	verständlich
unmittelbaren	unmittelbar	ADJA	217427	FALSE	FALSE	FALSE	TRUE	un-	mittelbar
unverzichtbar	unverzichtbar	ADJD	214482	FALSE	FALSE	FALSE	TRUE	un-	verzichtbar
unendlich	unendlich	ADJD	200151	FALSE	FALSE	FALSE	TRUE	un-	endlich
unnötige	unnötig	ADJA	199748	FALSE	FALSE	FALSE	TRUE	un-	nötig
unzureichend	unzureichend	ADJD	199576	FALSE	FALSE	FALSE	TRUE	un-	zureichend
