word	low.word	w.class	emo.mean	emo.std	arousal.mean	arousal.std	image.mean	image.std	letters	phonemes	syllables	Ftot.1mil	n	fn	hfn	fhfn	bigmean.token	accent
BODENLOS	bodenlos	A	-1.6	0.7	3.555555556	0.783823376	2.78	1.64	8	8	3	2.5	0	0	0	0	293234.1429	1
EHELOS	ehelos	A	-0.2	1.03	2.473684211	0.964274111	2	1.12	6	5	3	1.666666667	1	2	1	2	100868.4	1
FREUDLOS	freudlos	A	-2.2	0.79	2.368421053	1.605910137	3.56	1.88	8	7	2	0.666666667	0	0	0	0	55837.71429	1
HERZLOS	herzlos	A	-2.5	0.53	2.263157895	1.284181766	3.78	1.86	7	7	2	0.833333333	0	0	0	0	296028.5	1
HILFLOS	hilflos	A	-1.8	0.92	4	0.766964989	3.33	1.58	7	7	2	15	0	0	0	0	26293	1
HUMORLOS	humorlos	A	-2.1	0.74	2.263157895	1.557851272	3.33	1.5	8	8	3	1.166666667	0	0	0	0	37166	2
KAMPFLOS	kampflos	A	-0.6	1.26	2.315789474	1.492672159	3.33	1.41	8	7	2	1	0	0	0	0	22881.14286	1
KOPFLOS	kopflos	A	-1.3	0.48	3.105263158	1.242521488	3.22	2.11	7	6	2	1.166666667	0	0	0	0	20431.83333	1
KRAFTLOS	kraftlos	A	-1.6	0.52	2.722222222	0.751903902	2.89	1.36	8	8	2	3.166666667	0	0	0	0	39676.71429	1
LEBLOS	leblos	A	-2.3	0.82	3.5	1.043185168	4.67	1.5	6	6	2	3.5	0	0	0	0	58307.8	1
LIEBLOS	lieblos	A	-2.3	0.82	3.277777778	0.894792487	3.67	1.58	7	6	2	2	0	0	0	0	97417.5	1
LUSTLOS	lustlos	A	-1.5	1.08	2.277777778	1.178511302	3.56	1.59	7	7	2	3.666666667	0	0	0	0	67694	1
MACHTLOS	machtlos	A	-2	0.82	3	1.490711985	2.56	1.24	8	7	2	1.833333333	0	0	0	0	155995	1
MAKELLOS	makellos	A	1.5	0.97	2.833333333	0.923548145	2.78	1.48	8	8	3	1.666666667	0	0	0	0	66319.57143	1
MONDLOS	mondlos	A	-0.6	0.7	1.421052632	1.017392608	4.78	1.99	7	7	2	0.5	0	0	0	0	88616.83333	1
MUTLOS	mutlos	A	-1.4	0.52	2	1	3	1.32	6	6	2	1.333333333	1	2	1	2	26982.6	1
NAMENLOS	namenlos	A	-1	0.47	1.789473684	1.182227059	1.44	0.73	8	8	3	1.833333333	0	0	0	0	190707.5714	1
NEIDLOS	neidlos	A	0.9	1.37	1.526315789	0.61177529	2	0.5	7	6	2	1	0	0	0	0	147626.1667	1
PLANLOS	planlos	A	-1.7	0.95	2.473684211	1.540866317	3.33	1.32	7	7	2	0.833333333	0	0	0	0	63783.5	1
RASTLOS	rastlos	A	-1.5	0.71	3.166666667	1.098126747	3.11	1.17	7	7	2	2.666666667	1	87	1	87	74917.16667	1
RATLOS	ratlos	A	-1.2	0.63	2.947368421	1.223550581	2.44	1.24	6	6	2	10.33333333	0	0	0	0	50113.2	1
REGLOS	reglos	A	-1.2	0.79	2.157894737	1.462993806	4.44	1.74	6	6	2	4.5	1	1	0	0	75285.2	1
RUHELOS	ruhelos	A	-1.4	0.7	2.578947368	1.304513084	3.56	1.67	7	6	3	0.5	1	4	1	4	79136	1
RUHMLOS	ruhmlos	A	-1.4	0.84	2.052631579	1.311220136	2.11	1.05	7	6	2	0.666666667	1	3	1	3	22758.16667	1
SORGLOS	sorglos	A	0.3	1.7	2.526315789	1.263523339	2.78	1.39	7	7	2	1.333333333	0	0	0	0	48647.16667	1
SPURLOS	spurlos	A	-1	0.67	3.105263158	1.048530021	2.33	1.32	7	7	2	3.5	0	0	0	0	32589.66667	1
TADELLOS	tadellos	A	1.7	0.95	2.444444444	1.199128224	2.78	1.39	8	8	3	5.833333333	0	0	0	0	190091.4286	1
TONLOS	tonlos	A	-0.8	0.63	1.578947368	1.017392608	2.22	1.39	6	6	2	2.333333333	1	5	1	5	43743	1
TREULOS	treulos	A	-2.1	0.74	2.421052632	1.304513084	2.44	1.24	7	6	2	1.333333333	0	0	0	0	68155.5	1
TROSTLOS	trostlos	A	-2.1	0.57	3.333333333	1.371988681	4	1.73	8	8	2	4.166666667	0	0	0	0	60164.85714	1
UFERLOS	uferlos	A	-1.3	1.16	2.736842105	1.484815936	2.78	1.99	7	7	3	1.333333333	0	0	0	0	285871.1667	1
WAHLLOS	wahllos	A	-0.8	0.42	2.684210526	1.454977342	1.67	1	7	6	2	2.166666667	1	68	1	68	53690.5	1
WEHRLOS	wehrlos	A	-1.7	0.48	3.888888889	1.131832917	3.78	1.72	7	6	2	4.166666667	0	0	0	0	79115.5	1
WERTLOS	wertlos	A	-1.4	0.97	2.421052632	1.387074839	1.67	0.71	7	7	2	1.833333333	1	37	1	37	303163.6667	1
ZEITLOS	zeitlos	A	0.4	0.97	2.166666667	1.150447483	2	0.71	7	6	2	4.166666667	0	0	0	0	162733.8333	1
ZIELLOS	ziellos	A	-1.6	0.7	3	1.333333333	2.67	1	7	6	2	1.666666667	0	0	0	0	105122.6667	1
ZWANGLOS	zwanglos	A	1.1	0.99	2.421052632	1.346426937	2.11	1.17	8	7	2	4.5	0	0	0	0	82010.42857	1
ZWECKLOS	zwecklos	A	-2	0.82	2.210526316	1.182227059	2.11	1.27	8	7	2	2.166666667	0	0	0	0	47943.42857	1
